titles,authors,years,ncitedby,linkfiles
Requirements for Personalized m-Commerce,WD Consumers'Use,2013,NA,https://www.sti2.org/sites/default/files/Summit%202011/4.%20Bizer-STI-Summit-Global-Data-Integration-02.pdf
Global Data Integration and Global Data Mining,C Bizer,NA,NA,https://mecs-press.net/ijitcs/ijitcs-v6-n8/IJITCS-V6-N8-1.pdf
SEMANTIC WEB MINING and IMPROVING PERFORMANCE,NA,NA,NA,http://www.ijafb.com/PDF/IJAFB-2021-32-03-01.pdf
Data Mining and Analytics Framework for Healthcare,R Alugubelli,2018,46,https://www.academia.edu/download/68628123/Data_Mining_and_Analytics_Framework_for_Healthcare.pdf
PRODUCT RECOMMENDATION SYSTEM,"R Redhu, IV Shubham, PS Rasal",2018,1,https://www.academia.edu/download/45155637/Designing_malicious_applications_in_soci20160427-20771-19s69oi.pdf
Friends like mine: The production of socialised subjectivity in the attention economy,M Thayne,2012,28,https://nickobradovich.com/wp-content/uploads/2019/03/beware_the_corporate_machinewashing_of_ai.pdf
"Analysis of Data Mining, Big Data and Machine Learning Techniques to Predict Academic Performance",NA,NA,3,https://repository.uantwerpen.be/docman/irua/e7ffcf/155787.pdf
Blockchain technology the identity management and authentication service disruptor: a survey,"SY Lim, PT Fotsing, A Almasri, O Musa…",2018,117,https://pure.hw.ac.uk/ws/files/45417407/6838_15365_1_PB.pdf
Dangers of'Facebook Login'for Mobile Apps: Is There a Price Tag for Social Information?,"H Krasnova, N Eling, O Abramova, P Buxmann",2014,31,https://www.researchgate.net/profile/Hanna-Krasnova/publication/277597655_Dangers_of_'Facebook_Login'_for_Mobile_Apps_Is_There_a_Price_Tag_for_Social_Information/links/5595030b08ae5d8f392f9584/Dangers-of-Facebook-Login-for-Mobile-Apps-Is-There-a-Price-Tag-for-Social-Information.pdf
Accessibility and Vulnerability of Private Data in Social Networks,B Sijpesteijn,2012,13,https://www.academia.edu/download/65736020/ijatcse391012021.pdf
Comparative analysis of data visualization libraries Matplotlib and Seaborn in Python,"AH Sial, SYS Rashdi, AH Khan",2021,4,https://28536699-376730838878981982.preview.editmysite.com/uploads/2/8/5/3/28536699/proceedings_final_version.pdf#page=258
Determining Facebook as a Platform of Expressing Politics among University Students,"LM Mohamad Sani, R Ramli, A Kamaruddin",2018,4,http://www.hippocampus.si/ISSN/1854-6935/17_4.pdf#page=75
Applied text-mining algorithms for Stock Price prediction based on financial news articles,"A Besimi, Z Dika, V Shehu, M Selimi",2019,3,https://www.researchgate.net/profile/Jason-Manaois/publication/360201046_Constructing_Online_Political_Habitus_Unpacking_Filipino_Generational_Political_Facebook_Posts_Using_Multiple_Correspondence_Analysis/links/626b7cea2e2cf87c348707a2/Constructing-Online-Political-Habitus-Unpacking-Filipino-Generational-Political-Facebook-Posts-Using-Multiple-Correspondence-Analysis.pdf
Energy Use In Mining: Patterns And Prospects,NA,NA,NA,https://ijresm.com/Vol_1_2018/Vol1_Iss12_December18/IJRESM_V1_I12_19.pdf
Machine learning and data mining for sports analytics,"U Brefeld, J Davis, J Van Haaren, A Zimmermann",2018,13,https://www.irjmets.com/uploadedfiles/paper/issue_6_june_2022/27221/final/fin_irjmets1656532020.pdf
Big data: a review,"M Kataria, MP Mittal",2014,32,https://www.researchgate.net/profile/Ali-Aljaafreh/publication/348150324_Examining_Users'_Willingness_to_Post_Sensitive_Personal_Data_on_Social_Media/links/601bb78c45851589397d904f/Examining-Users-Willingness-to-Post-Sensitive-Personal-Data-on-Social-Media.pdf
CONNECTING SOCIAL MEDIA TO E-COMMERCE,"S Hegde, K Aruna",NA,3,https://www.researchgate.net/profile/Apichon-Witayangkurn/publication/258423914_The_Design_of_Large_Scale_Data_Management_for_Spatial_Analysis_on_Mobile_Phone_Dataset/links/00b7d5282e29218185000000/The-Design-of-Large-Scale-Data-Management-for-Spatial-Analysis-on-Mobile-Phone-Dataset.pdf
Examining Users' Willingness to Post Sensitive Personal Data on Social Media,A Aljaafreh,2020,13,https://www.immagic.com/eLibrary/ARCHIVES/GENERAL/GENPRESS/F120222U.pdf
Social Network Anomaly and Attack Patterns Analysis with Association Rules,"P Limsaiprom, P Tantatsanawong",2010,6,https://www.academia.edu/download/31840357/Predictive_Schedule_Modeling.pdf
The design of large scale data management for spatial analysis on mobile phone dataset,"A Witayangkurn, T Horanont…",2013,NA,https://www.iubatreview.twoinc.ca/application/files/8315/8035/4981/IUBAT_Journal_Vol_1_No_1_web_FULL_journal.pdf#page=25
"Workshop on Data, Text, Web, and Social Network Mining",NA,NA,3,https://ictactjournals.in/paper/IJSC_Vol_8_Iss_4_Paper_2_1706_1713.pdf
Feature based community detection by extracting Facebook profile details,"R Sridhar, A Kumar, SB Roshini…",2018,221,https://dspace.vutbr.cz/bitstream/handle/11012/52425/final-thesis.pdf?sequence=-1
REKONSTRUKCE ZACHYCENÉ KOMUNIKACE A DOLOVÁNÍ DAT NA SOCIÁLNÍ SÍTI FACEBOOK,PT BRUCKNER,NA,4,http://www.ijetcse.com/admin/uploads/Collective%20sanitization%20methods%20to%20prevent%20and%20detect%20the%20inference%20attacks%20in%20online%20social%20networking%20sites_1597839505.pdf
Collective sanitization methods to prevent and detect the inference attacks in online social networking sites,"V SANKARI, G ELAYAROJA",NA,NA,https://www.researchgate.net/profile/John-Dougherty-5/publication/228945789_Integrating_data-intensive_scalable_computing_into_the_computer_science_curriculum/links/550344650cf2d60c0e64dfc5/Integrating-data-intensive-scalable-computing-into-the-computer-science-curriculum.pdf
Integrating data-intensive scalable computing into the computer science curriculum,"AE Fischer, CT West Haven, JP Dougherty…",2009,NA,https://www.researchgate.net/profile/Rozalia-Klara-Bako/publication/269808441_Ten_Years_of_Facebook_Proceedings_of_the_Third_International_Conference_on_Argumentation_and_Rhetoric_held_in_Oradea_Nagyvarad_Romania_4-6_September_2014/links/54969d350cf2ec13375b3920/Ten-Years-of-Facebook-Proceedings-of-the-Third-International-Conference-on-Argumentation-and-Rhetoric-held-in-Oradea-Nagyvarad-Romania-4-6-September-2014.pdf#page=457
Big Brother FaceBooks You conspiracY theorY Discourses circulating in the social MeDia,LLALA Hubbes,2014,NA,https://www.dhi.ac.uk/san/waysofbeing/data/citizenship-robson-fuchs-2009b.pdf
Social networking sites and the surveillance society,C Fuchs,2009,NA,https://paul-irolla.com/wp-content/uploads/2022/02/2015-black-hat-whitepaper.pdf
"ESIEA-Laboratoire de virologie et de cryptologie opérationnelles France {filiol, irolla}@ esiea. fr March 26, 2015",E Filiol,2015,NA,https://www.academia.edu/download/31147822/C60.pdf
The Role of Data Science in Big Data Analytics-Overview,S Balakrishnan,2012,4,http://www.khitguntur.ac.in/CSI/images/CSI/March%202020.pdf#page=16
Jurnal Teknologi dan Sistem Informasi,I Surya,NA,1,https://www.academia.edu/download/54726577/344-1165-1-PB.pdf
"USING ARTIFICIAL INTELLIGENCE TO FILTER OUT BARKING, TYPING, AND OTHER NOISE FROM VIDEO CALLS IN MICROSOFT TEAMS","P Sharma, B Dash",NA,1,https://ijcionline.com/paper/12/12123ijci03.pdf
Businesses on Facebook and Propensity to Export: The United States,"CA McDaniel, D Parks",2019,1,https://www.mercatus.org/system/files/mcdaniel_and_parks_-_policy_brief_-_digital_platforms_small-_and_medium-sized_businesses_-_v1.pdf
Data Mining and Machine Learning Techniques in Prediction of Covid-19 Outbreaks-A Recent Review,"V Umarani, M Subathra",2020,10,https://tierarztliche.com/gallery/v40.113.pdf
An Empirical Study of the Social e-Commerce on Facebook Group Buying Services Model in Taiwan,"SW Hsu, CC Wang, HL Hsieh, F Qing",NA,1,https://www.academia.edu/download/88813843/453-JZ0156.pdf
Neural relational autoregression for high-resolution COVID-19 forecasting,"M Le, M Ibrahim, L Sagun, T Lacroix…",2020,NA,https://epidamik.github.io/2021/papers/epiDAMIK_40_paper_12.pdf
A Proposal for Improving Project Coordination using Data Mining and Proximity Tracking.,"E Bjarnason, H Jonsson",2016,NA,https://ret.cs.lth.se/16/downloads/Bjarnason_GFApp_12_CR.pdf
Connected Strangers,NA,NA,NA,https://www.aacademica.org/000-067/25.pdf
Detecting and Analyzing Communities in Social Network Graphs for Targeted Marketing,"G Bhat, RK Singh",NA,5,https://gautambhat.github.io/GBPAPER.pdf
Discovering the Most Dominant Nodes in Frequent Subgraphs,"F Chanchary, H Viktor, A Maheshwari",2016,246,https://core.ac.uk/download/pdf/80748024.pdf#page=83
Emotion combination in social media comments as features for sarcasm detection,"FH Calderon, PC Kuo, H Yen-Hao…",2019,3,https://www.sentic.net/wisdom2019calderon.pdf
Customer data: Designing for transparency and trust,"T Morey, T Forbath, A Schoop",2015,3,https://www.academia.edu/download/49352349/CUSTOMER_DATA-DESIGNING_FOR_TRANSPARENCY_AND_TRUST-R1505H-PDF-ENG.desbloqueado.pdf
Analyzing the Ethical Dilemma between Protecting Consumer Privacy and Marketing Customer Data,MC Data,2011,53,https://www.academia.edu/download/59936430/08_Paper_31051924_IJCSIS_Camera_Ready_pp56-6220190705-104879-r2816q.pdf
Mining Forensic Medicine Data for Crime Prediction,"A Abdo, H Fahmy, AA Shaker",2019,4,https://www.usc.gal/export9/sites/webinstitucional/en/congresos/cmc2022/download/Bookofabstracts.pdf#page=64
Digital discourse analysis about refugees in Brazil: contributions from Perspectivist Method,"LG Neves-Hora, FLM de Lima",2022,NA,https://www.academia.edu/download/65434146/8_14.pdf
Research Article Data Analysis for Book Reading Preferences: Bangladesh Perspective,"MM Alam, MS Rahman",2021,NA,https://gvpress.com/journals/IJMUE/vol9_no6/2.pdf
A systemic smartphone usage pattern analysis: focusing on smartphone addiction issue,"H Ahn, ME Wijaya, BC Esmero",2014,NA,https://ace.ucv.ro/anale/2015_vol1/Annals_of_UCV_vol12_no1_2015.pdf#page=42
Study of clustering techniques in the data mining domain,"PR Saraiya, Y Ganage",2018,4,https://www.academia.edu/download/57746442/V7I11201808.pdf
Japanese Ethical Philosophy and Algorithm Design,N Osaka,NA,2,https://nosaka.me/papers/Japanese_Ethical_Philosophy_and_Algorithm_Design.pdf
Exploring Web Mining for Auditing Social Networking: A Clustering Approach,"VS Kumbhar, KS Oza, RK Kamat",NA,75,https://www.researchgate.net/profile/Vijaykumar-Kumbhar/publication/308522880_Exploring_Web_Mining_for_Auditing_Social_Networking_A_Clustering_Approach/links/57e6306408aedcd5d1a43d63/Exploring-Web-Mining-for-Auditing-Social-Networking-A-Clustering-Approach.pdf
CNEHA Facebook Page,NEW EXHIBIT,NA,8,https://cneha.org/newsletters/n89oct14.pdf
Improving the Performance for Crime Pattern Analysis Using,C Yadav,2017,NA,http://publications.ics.forth.gr/_publications/Designing_malicious_applications_in_soci20160427-20771-19s69oi-with-cover-page-v2.pdf
Local Pocket Internet and Global Social Media Bridging the Digital Gap: Facebook and Youth Sub-Stratum in Urban India,"G Challagulla, M Young, E Cutrell",NA,NA,http://learningsys.org/nips18/assets/papers/87CameraReadySubmissionAE%20-%20NeurIPS%202018.pdf
AE: A domain-agnostic platform for adaptive experimentation,"E Bakshy, L Dworkin, B Karrer, K Kashin…",2018,NA,https://www.researchgate.net/profile/Parinita-Chate-2/publication/362538477_A_Review_of_Data_science_Technology_Applications/links/62efa6880b37cc344779cd9d/A-Review-of-Data-science-Technology-Applications.pdf
A Review of Data science Technology & Applications,PJ Chate,NA,NA,"http://repository.umy.ac.id/bitstream/handle/123456789/32370/Measuring%20Public%20Opinion%20with%20Social%20Media%20Use%20in%20Local%20Government%20of%20Asian%20Cities,%20Springer_2020.pdf?sequence=1"
A comparative study of clustering algorithms using mapreduce in hadoop,"D Garg, K Trivedi, BB Panchal",2013,12,https://www.academia.edu/download/67311177/a_comparative_study_of_clustering_algorithms_using_mapreduce_in_hadoop_IJERTV2IS101148.pdf
Automation and Personalization of E-Commerce Field,"S Wickramasinghe, H Asurasinghe, D Subhani…",2016,1,http://www.icmab.org.bd/wp-content/uploads/2020/03/3.Big-Data.pdf
Modeling peer and external influence in online social networks,M Pi²korec,2016,4,https://pustaka.ut.ac.id/lib/wp-content/uploads/pdfmk/MSIM4403-M1.pdf
Konsep Dasar Data Mining,"GA Pradnyana, S Kom, M Kom, K Agustini",NA,31,https://www.researchgate.net/profile/Geetika-Chawla/publication/328448982_Big_Data_Analytics_for_Data_Visualization_Review_of_Techniques/links/5bcec532a6fdcc204a0135af/Big-Data-Analytics-for-Data-Visualization-Review-of-Techniques.pdf
Further researches and discussion on machine learning meanings-and methods of classifying and recognizing users gender on internet,"DTN Huy, TH Le, NT Hang…",2021,84,https://dinhtranngochuy.com/am-sham-deepen-researches-q3-4-final-to-publish-q3-advance-in-mechanics.pdf
Factors Influencing the Choice of Product Promotion Strategies on Facebook: An Empirical Evidence of Small and Medium-Sized Enterprises in Tanzania,"SA Jinyevu, C Yanxia, JJ Rombo, JR Ng'itu",2019,5,https://core.ac.uk/download/pdf/270185142.pdf
Sentiment and Content Analysis of Macroeconomic-related Posts on Facebook in 2021 and,"H Abbas, A Ghazinejad",2022,8,https://www.researchgate.net/profile/Hadi-Abbas-7/publication/369529054_Sentiment_and_Content_Analysis_of_Macroeconomic-related_Posts_on_Facebook_in_2021_and_Early_2022/links/641f4e1fa1b72772e42856cd/Sentiment-and-Content-Analysis-of-Macroeconomic-related-Posts-on-Facebook-in-2021-and-Early-2022.pdf
MULTIMEDIA BIG DATA MINING,NA,NA,9,https://www.academia.edu/download/62270659/V7I820181520200304-127471-xau6b9.pdf
Consumption of Facebook Website Impact on Academic Performance and Health Hazards: A Study of RawalPindi Medical College Students,"SZ Abbas, A Naeem, SA Raza, SA Kazmi, W Rana…",2018,30,http://cqm.rs/2016/cd1/pdf/papers/focus_1/42.pdf
DEVELOPMENT OF A DATA MINING SYSTEM FOR ANALYZING DATA IN MARKETING ACTIVITIES,M Radojičić,2016,NA,https://www.academia.edu/download/61878001/Munir_et_al.__2017-ARInt.20178.1-0820200123-127366-yii609.pdf
Social network advertisements and purchase intentions: A case of mobile Facebook users in Pakistan,"TY Qazi, S Ohtaki, M Munir",2017,NA,https://core.ac.uk/download/pdf/20270310.pdf
Profiling and automated decision making in the present and new EU Data Protection Frameworks,A Savin,2014,NA,https://www.researchgate.net/profile/Peter-Kieseberg/publication/291257435_Protecting_Anonymity_in_Data-Driven_Biomedical_Science/links/56a5b95708aeef24c58d8228/Protecting-Anonymity-in-Data-Driven-Biomedical-Science.pdf
Protecting anonymity in the data-driven medical sciences,"P Kieseberg, H Hobel, S Schrittwieser…",2014,NA,http://www.cl.cam.ac.uk/~pr10/publications/acii11b.pdf
Mining and Analyzing Social Networks,"IH Ting, HJ Wu, TH Ho",2010,12,https://studenttheses.uu.nl/bitstream/handle/20.500.12932/7189/Scriptie%2011-5.pdf?sequence=1
Sanitization Techniques for Protecting Social Networks from Inference Attacks,"J Dasari, KRK Rao",2014,3,https://www.academia.edu/download/81731671/55.pdf
Datamining en privacy: Anything you do can be used against you,BJ van der Laan,2011,1,https://ysilva.cs.luc.edu/BullyBlocker/documents/FacebullyAbstract.pdf
A perfect fit: Personalization versus privacy,JR Jackson,2018,15,https://www.researchgate.net/profile/R-Jayaparvathy/publication/301335822_Analysis_on_Social_Media_Addiction_using_Data_Mining_Technique/links/5791d72a08ae33e89f74e47e/Analysis-on-Social-Media-Addiction-using-Data-Mining-Technique.pdf
Big Data–Challenges and Opportunities in Digital Forensic,"S Saxena, N Kishore",2012,3,http://groups.csail.mit.edu/mac/classes/6.805/student-papers/fall07-papers/social-networks.pdf
Facebully: Towards the Identification of Cyberbullying in Facebook,"LM Tsosie, YN Silva",2013,2,http://learningsys.org/nips17/assets/papers/paper_14.pdf
Analysis on Social Media Addiction using Data Mining,"D Radha, R Jayaparvathy, D Yamini",NA,7,https://www.researchgate.net/profile/Saroj-Date-2/publication/343048115_Forecasting_novel_COVID-19_confirmed_cases_in_India_using_Machine_Learning_Methods/links/5f13286492851c1eff1bc177/Forecasting-novel-COVID-19-confirmed-cases-in-India-using-Machine-Learning-Methods.pdf
A real-time hybrid approch for mobile face recognition,"T Walgamage, C Farook",2014,5,https://ijssst.info/Vol-15/No-3/data/3857a142.pdf
HIPI: a Hadoop image processing interface for image-based mapreduce tasks,"C Sweeney, L Liu, S Arietta…",2011,150,https://jasonlawrence.info/assets/pdf/hipi.pdf
HOLIDAYS IN CULTURAL MEMORY: SOCIAL MEDIA MINING ACROSS GENERATIONS,"T Folomeeva, F Vinokurov",NA,19,http://inpact-psychologyconference.org/2019/wp-content/uploads/2020/05/2019inpact047.pdf
Personal Gaming,NA,NA,1,http://www.ijiet.org/vol6/660-DL1009.pdf
The big student big data grab,AS Weber,2016,76,https://www.researchgate.net/profile/Darren-Chong-2/publication/351019909_Ethics_on_Robo-advisors_and_its_big_data_Introduction_and_background/links/607f9d1a907dcf667bb11726/Ethics-on-Robo-advisors-and-its-big-data-Introduction-and-background.pdf
Ethics on Robo-advisors and its big data,D Chong,2017,9,https://www.academia.edu/download/33934485/IJETT-V6N4P134.pdf
Enhanced cBoids Algorithm for Web Logs Clustering,"R Suguna, D Sharmila",NA,NA,https://www.academia.edu/download/40330670/025___Big_Data_-_Solutions_for_RDBMS_Problems_-_A_Survey.pdf
Big Data-solutions for RDBMS problems-A survey,"SV Phaneendra, EM Reddy",2013,NA,https://www.researchgate.net/profile/Valerie-Steeves/publication/289828676_Data_Protection_Versus_Privacy_Lessons_from_Facebook's_Beacon/links/5693073908aee91f69a73080/Data-Protection-Versus-Privacy-Lessons-from-Facebooks-Beacon.pdf
Confidential Policy for Protecting User Images Uploaded on Shared Web Sites,"A Kiranmai, G Loshma",2017,4,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3478.pdf
Data Mining for Business Intelligence in Social Network: A survey,"S Bhanap, S Kawthekar",2015,2,https://scholar.archive.org/work/myeklc73hzhidpkrhuooby5ehm/access/wayback/http://pdfs.semanticscholar.org/68c8/3d3aa4e2057620594311907740e1a3a11274.pdf
The Need for Affective Metadata in Content‐Based Recommender Systems for Images,"M Tkalčič, J Tasič, A Košir",2012,592,https://www.ecorfan.org/bolivia/researchjournals/Tecnologia_e_innovacion/vol2num5/Tecnologia_e_Innovacion_Vol2_Num5_1.pdf
Sistema Recomendador Orientado a la Educación Basado en la Distancia entre Likes de Facebook y Conceptos,"A Morales, AL Chau, L Reyes",2015,8,https://scholar.archive.org/work/sb4dqeosmjblpip5srgao4upza/access/wayback/http://bonfayjournals.com/ijsci/papers/2016/Jun/ijsci15j6.pdf
A Survey of Network-Based Modelling and Intelligent Data Mining of Social Media for Improving Care,"K Ramya, ME Jayabalan",NA,4,https://www.cc.gatech.edu/projects/disl/courses/8803/2008/project/project_deliverables/group16/final_report.pdf
CS: 8803 Advanced Internet Applications Development Mining Social Networks,"A Saxena, A Kharadi, C Rajan",NA,1,https://www.researchgate.net/profile/Xiao-Cai-2/publication/258945832_Multi-View_K-Means_Clustering_on_Big_Data/links/0a85e5304c2a14700f000000/Multi-View-K-Means-Clustering-on-Big-Data.pdf
Multi-view k-means clustering on big data,"X Cai, F Nie, H Huang",2013,NA,http://optic.cs.nstu.ru/files/Article/L3_2011.pdf
Cloud computing security issues,"V Guzhov, K Bazhenov, S Ilinykh…",2011,NA,https://www.researchgate.net/profile/Radha-Guha-2/publication/321102244_Exploring_the_Field_of_Text_Mining/links/5a12d1d5aca27217b59e83e2/Exploring-the-Field-of-Text-Mining.pdf
Exploring the Field of Text Mining,R Guha,2017,NA,https://iceb.johogo.com/proceedings/2021/ICEB_2021_paper_24_full.pdf
A survey on predictive analysis in employment trends,"N Radhakrishnan, M Awasthi, P Mahalakshmi",2018,1,https://www.researchgate.net/profile/Maziyar-Taharozi-2/publication/324694890_Parallel_Processing_for_Data_Mining_and_Data_Analysis_Applications/links/5addc36a458515c60f5f70e5/Parallel-Processing-for-Data-Mining-and-Data-Analysis-Applications.pdf
"Parallel Processing for Data Mining and Data Analysis Applications"" Mohammad H. Moattar,“Maziyar Taharozi","SA Yazdi, SS Rekavandi",2018,19,https://www.academia.edu/download/76387885/information_12_00522_3_.pdf
"Algorithmic Curation and Users' Civic Attitudes: A Study on Facebook News Feed Results. Information 2021, 12, 522","V Papa, T Photiadis",2021,4,https://www.academia.edu/download/59147659/VONDERAU.pdf
Introduction to Social Media and Learning Minitrack,"M De Laat, C Haythornthwaite…",2014,NA,https://core.ac.uk/download/pdf/111754152.pdf
"Storing data, infrastructuring the air: Thermocultures of the cloud",A Vonderau,2019,NA,https://openportal.isti.cnr.it/data/2017/384330/2017_384330.postprint.pdf
"and PRASETYO, Philips Kokoh. A business zone recommender system based on Facebook and urban planning data.(2016)","J LIN, RJ OENTARYO, EP LIM, C VU, AWL VU",2016,NA,https://www.webpages.uidaho.edu/~brian/R_NYT_article.pdf
Personal Analytics and Privacy,"R Guidotti, A Monreale, D Pedreschi, S Abiteboul",NA,NA,https://www.academia.edu/download/51185209/54_Paper_300916110_IJCSIS_Camera_Ready_pp._428-445.pdf
Business Computing,A VANCE,NA,NA,https://www.academia.edu/download/36775208/IJCST-V3I1P29.pdf
Improved textual cyberbullying detection using data mining,"P Singhal, A Bansal",2013,16,https://www.ripublication.com/irph/ijict_spl/13_ijictv3n6spl.pdf
Privacy preservation problems in online social networks,M Kalinauskas,2012,3,http://socin2012.home.mruni.eu/B_2012-12-26.pdf#page=28
Facebook distributed system case study for distributed system inside facebook datacenters,AM Salem,2014,7,https://www.researchgate.net/profile/Asma-Salem-4/publication/318946789_Facebook_Distributed_System_Case_Study_For_Distributed_System_Inside_Facebook_Datacenters/links/598749110f7e9b6c8537439b/Facebook-Distributed-System-Case-Study-For-Distributed-System-Inside-Facebook-Datacenters.pdf
Television meets Facebook: Social Networking Through Consumer Electronics Mariana Cristina Baca Del Rosario,H Holtzman,2008,4,https://www.researchgate.net/profile/Aaron-Norgrove/publication/266490950_FACEBOOKING_THE_FUTURE_IDENTITY_CONTROL_AND_THE_FORMATION_OF_THE_%27DIGITAL_DIVIDUAL%27/links/5637b47708ae4bde50212929/FACEBOOKING-THE-FUTURE-IDENTITY-CONTROL-AND-THE-FORMATION-OF-THE-DIGITAL-DIVIDUAL.pdf
"Face (book) ing the future: Identity, control and the formation of the'digital dividual'","A Norgrove, M Bean",2007,7,https://snlapps.depaul.edu/writing/PrivacyandMarketingOnline.pdf
Privacy and Marketing Online,RR Sachs,NA,7,https://www.academia.edu/download/57994558/4vol7no2.pdf
Fake image detection using machine learning,"MA Villan, A Kuruvilla, J Paul, EP Elias",2017,1,https://bibliotekanauki.pl/articles/541216.pdf
Facebook jako obszar akcji społecznych firm i organizacji non-profit,A Dejnaka,2013,NA,http://csroc.org.tw/journal/JOC26-2/JOC26-2-2.pdf
ActiveEm: A Node Embedding Method for Dynamic Social Networks,"L Munasinghe, R Ichise",NA,4,https://www.researchgate.net/profile/Lankeshwara-Munasinghe/publication/344638873_ActiveEm_A_Node_Embedding_Method_for_Dynamic_Social_Networks/links/5f866a42a6fdccfd7b5fbe10/ActiveEm-A-Node-Embedding-Method-for-Dynamic-Social-Networks.pdf
Professor Durham CSC6360: Mobile App Development November 29 2016,A Chauhan,2016,512,https://www.researchgate.net/profile/Ankush-Chauhan/publication/311646287_Geographic_Data_Mining_and_Social_Discovery_on_Mobile_Social_Networks/links/5851de4808ae0c0f321ffe45/Geographic-Data-Mining-and-Social-Discovery-on-Mobile-Social-Networks.pdf
Issues and Challenges in the Era of Big Data Mining,A Kathuria,2016,28,https://wwjmrd.com/upload/issues-and-challenges-in-the-era-of-big-data-mining.pdf
Making sense of performance in data analytics frameworks,"K Ousterhout, R Rasti, S Ratnasamy…",2015,129,https://www.usenix.org/system/files/conference/nsdi15/nsdi15-paper-ousterhout.pdf
Mobility-based real-time economic monitoring amid the COVID-19 pandemic,"A Spelta, P Pagnottoni",2021,NA,http://patentimages.storage.googleapis.com/pdfs/US20130262477.pdf?trk=prof-patent-title-link
"University School of Information Technology, GGSIP University, Delhi",NA,NA,NA,https://www.researchgate.net/profile/Mohamed-Mohamed-314/publication/263272704_Relational_Vs_NoSQL_databases_A_survey/links/00b7d53a495312ad22000000/Relational-Vs-NoSQL-databases-A-survey.pdf
95688 205 St: E8nx: 5: EnoxccozmELoEm EQDCwcog329: 8gm; rcoa2: 08.30 wEuBomgsG,F GE,NA,NA,https://www.disit.org/axmedis/022/00000-022ea2af-40c4-42ef-858b-285cc431f9ce/2/~saved-on-db-022ea2af-40c4-42ef-858b-285cc431f9ce.pdf
Predicting the Human Curiosity from Users' Profiles on Facebook,NA,NA,3,http://jmcms.s3.amazonaws.com/wp-content/uploads/2019/08/24094424/12-Multi-Participant-Chat-Analysis.pdf
Multi Participant Chat Analysis,"KA Davamani, S Amudha, TN India",NA,3,https://core.ac.uk/download/pdf/199446757.pdf
my sister in data,RS Shepko-Hamilton,2019,1,https://ide.mit.edu/wp-content/uploads/2019/11/Multi-Sided-Platform-Strategy-Taxation-and-Regulation-October-2019.pdf
"Multi-Sided Platform Strategy, Taxation, and Regulation: A Quantitative Model and Application to Facebook","S Benzell, A Collis",2020,3,https://ualresearchonline.arts.ac.uk/id/eprint/14480/1/Rise%20of%20Platform%20Empires_Sujon_2019.pdf
Redes sociales en internet y 'data mining'en la prospección e investigación de comportamientos delictivos,"A Nieto, M Maroto",2010,3,https://www.researchgate.net/profile/Nooraneda-Laidey-2/publication/285587745_Privacy_vs_National_Security_Where_Do_We_Draw_the_Line/links/56605ead08aebae678aa0c02/Privacy-vs-National-Security-Where-Do-We-Draw-the-Line.pdf
The rise of platform empires: sociality as mass deception,Z Sujon,2019,NA,https://www.researchgate.net/profile/Arina-Saufa/publication/347570730_Literasi_Privasi_di_Sosial_Media_Analisis_Kesadaran_Privasi_pada_Grup_Facebook_Komunitas_Peduli_HBV_Hepatitis_B_Virus_di_Indonesia/links/60092306299bf14088adc0d5/Literasi-Privasi-di-Sosial-Media-Analisis-Kesadaran-Privasi-pada-Grup-Facebook-Komunitas-Peduli-HBV-Hepatitis-B-Virus-di-Indonesia.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D
Privacy vs. National Security: Where Do We Draw the Line?,NM Laidey,2015,NA,https://www.academia.edu/download/56942012/IJET-V4I3P107.pdf
Literasi Privasi di Sosial Media: Analisis Kesadaran Privasi pada Grup Facebook Komunitas Peduli HBV (Hepatitis B Virus) di Indonesia,"AF Saufa, S Yusuf",2020,NA,https://researchprofiles.canberra.edu.au/files/9191874/EVAA_2016_Papers.pdf#page=40
The Ethics of Privacy Strip (Data) Mining Ethan Johanson,E Johanson,NA,2,http://www.ethanj.ca/proj/essays/322_essay_datamining.pdf
Movie Popularity Classification Based on Support Vector Machine Combined with Social Network Analysis,"T Dorjmaa, T Shin",2017,3,https://www.koreascience.or.kr/article/JAKO201732060956442.pdf
Agent Perspective Social Networks: Distributed Second Degree Estimation.,"JY Lee, JC Oh",2018,4,https://www.researchgate.net/profile/Jooyoung-Lee/publication/313936910_Agent_Perspective_Social_Networks_Distributed_Second_Degree_Estimation/links/6282e9cf7a08f263d551e39a/Agent-Perspective-Social-Networks-Distributed-Second-Degree-Estimation.pdf
What Are the Odds That Stats Would Be This Popular?,Q Hardy,2012,1,https://web.cels.anl.gov/~tbicer/research/papers/pdm2011.pdf
Supporting Dynamic Load Balancing in a Parallel Data Mining Middleware,"T Bicer, G Agrawal",NA,5,http://cs229.stanford.edu/proj2010/Prasad-UsingSocialNetworksToImproveMovieRatingsPredictions.pdf
Using Social Networks to improve Movie Ratings predictions,S Prasad,2010,8,https://appliedantitrust.com/16_foreclosure/digital_markets/facebook/benzell_collis_how_to_govern_facebook2020_08.pdf
